row,produto,ean,preco_7_dias,preco_14_dias,preco_21_dias,preco_28_dias,status,revisao_visual,observacao,source,source_page,image_url,title_found,optimized_path,optimized_bytes,original_width,original_height,processed_at
14,AB CAREFREE NEUTRALIZE S/ PERF 15UN,7891010015268,7.29,7.35,7.38,7.41,REVISAR_MATCH_DESTRO,APROVADO_EDSON,"Imagem veio da Destro, mas a correspondencia precisa de revisao. Aprovado manualmente por Edson em 2026-07-06T13:10:18.",destromacro.com.br,https://www.destromacro.com.br/produto/protetor-diario-carefree-neutralize-sem-perfume-15-unidades-73124,https://destro.fbitsstatic.net/img/p/protetor-diario-carefree-neutralize-sem-perfume-15-unidades-73124/259660-1.jpg?w=900&h=900&v=202505131433&qs=ignore,Protetor diário Carefree Neutralize sem Perfume 15 unidades,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891010015268.webp,49576,900,900,2026-07-06T11:46:13
15,AB CAREFREE NEUTRALIZE S/ PERF 40UN,7891010875596,14.85,14.97,15.03,15.09,REVISAR_MATCH_DESTRO,APROVADO_EDSON,"Imagem veio da Destro, mas a correspondencia precisa de revisao. Aprovado manualmente por Edson em 2026-07-06T13:10:18.",destromacro.com.br,https://www.destromacro.com.br/produto/protetor-diario-carefree-sem-perfume-40un-86872,https://destro.fbitsstatic.net/img/p/protetor-diario-carefree-sem-perfume-40un-86872/273869.jpg?w=900&h=900&v=202501231555&qs=ignore,Protetor Diário Carefree Sem Perfume 40Un,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891010875596.webp,40132,900,900,2026-07-06T11:46:16
16,AB CAREFREE PROTECAO C/ PERF 80UN PROMO,7891010576509,21.9,22.08,22.16,22.25,REVISAR_MATCH_DESTRO,APROVADO_EDSON,"Imagem veio da Destro, mas a correspondencia precisa de revisao. Aprovado manualmente por Edson em 2026-07-06T13:10:18.",destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-externo-carefree-protecao-com-perfume-80-unidades-80134,https://destro.fbitsstatic.net/img/p/absorvente-externo-carefree-protecao-com-perfume-80-unidades-80134/266689-1.jpg?w=900&h=900&v=202505131433&qs=ignore,Absorvente Externo Carefree Proteção com Perfume 80 Unidades,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891010576509.webp,28764,900,900,2026-07-06T11:46:17
17,AB CAREFREE PROTECAO DIARIA EXT L 15UN,7891010257637,9.39,9.47,9.5,9.54,REVISAR_MATCH_DESTRO,APROVADO_EDSON,"Imagem veio da Destro, mas a correspondencia precisa de revisao. Aprovado manualmente por Edson em 2026-07-06T13:10:18.",destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-carefree-protecao-com-perfume-15-unidades-73128,https://destro.fbitsstatic.net/img/p/absorvente-carefree-protecao-com-perfume-15-unidades-73128/259664.jpg?w=900&h=900&v=202501231555&qs=ignore,Absorvente Carefree Proteção Com Perfume 15 unidades,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891010257637.webp,41720,900,900,2026-07-06T11:46:16
18,AB CAREFREE PROTETOR DIARIO FRAG 60UN,7891010257644,25.19,25.39,25.49,25.59,OK_DESTRO,APROVADO_EDSON,Imagem encontrada na Destro com boa correspondencia de nome. Aprovado manualmente por Edson em 2026-07-06T13:10:18.,destromacro.com.br,https://www.destromacro.com.br/produto/protetor-diario-carefree-sem-abas-extra-longo-leve-pague-60un-92092,https://destro.fbitsstatic.net/img/p/protetor-diario-carefree-sem-abas-extra-longo-leve-pague-60un-92092/279090.jpg?w=900&h=900&v=202602061649&qs=ignore,Protetor Diário Carefree Sem Abas Extra Longo Leve+Pague- 60Un,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891010257644.webp,36744,900,900,2026-07-06T11:46:17
19,AB CAREFREE REG ORIG C/ PERF 15UN,7891010087722,7.29,7.35,7.38,7.41,REVISAR_MATCH_DESTRO,APROVADO_EDSON,"Imagem veio da Destro, mas a correspondencia precisa de revisao. Aprovado manualmente por Edson em 2026-07-06T13:10:18.",destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-carefree-protecao-com-perfume-15-unidades-73128,https://destro.fbitsstatic.net/img/p/absorvente-carefree-protecao-com-perfume-15-unidades-73128/259664.jpg?w=900&h=900&v=202501231555&qs=ignore,Absorvente Carefree Proteção Com Perfume 15 unidades,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891010087722.webp,41720,900,900,2026-07-06T11:46:19
20,AB CAREFREE REG ORIG C/ PERF 40UN PROMO,7891010009618,12.59,12.69,12.74,12.79,REVISAR_MATCH_DESTRO,APROVADO_EDSON,"Imagem veio da Destro, mas a correspondencia precisa de revisao. Aprovado manualmente por Edson em 2026-07-06T13:10:18.",destromacro.com.br,https://www.destromacro.com.br/produto/protetor-diario-carefree-sem-perfume-40un-86872,https://destro.fbitsstatic.net/img/p/protetor-diario-carefree-sem-perfume-40un-86872/273869.jpg?w=900&h=900&v=202501231555&qs=ignore,Protetor Diário Carefree Sem Perfume 40Un,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891010009618.webp,40132,900,900,2026-07-06T11:46:19
21,AB CAREFREE TODO DIA FLEXI S/P 80UN PROM,7891010618780,26.99,27.21,27.31,27.42,OK_DESTRO,APROVADO_EDSON,Imagem encontrada na Destro com boa correspondencia de nome. Aprovado manualmente por Edson em 2026-07-06T13:10:18.,destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-diario-carefree-sem-perfume-todo-dia-flexi-80-unidades-80559,https://destro.fbitsstatic.net/img/p/absorvente-diario-carefree-sem-perfume-todo-dia-flexi-80-unidades-80559/267114.jpg?w=900&h=900&v=202501231555&qs=ignore,Absorvente Diário Carefree Sem Perfume Todo Dia Flexi 80 Unidades,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891010618780.webp,46270,900,900,2026-07-06T11:46:21
22,AB CAREFREE TODO DIA FLEXI S/PERF 15UN,7891010618766,8.38,8.45,8.48,8.51,OK_DESTRO,APROVADO_EDSON,Imagem encontrada na Destro com boa correspondencia de nome. Aprovado manualmente por Edson em 2026-07-06T13:10:18.,destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-externo-sem-perfume-carefree-todo-dia-flexi-15-unidades-80135,https://destro.fbitsstatic.net/img/p/absorvente-externo-sem-perfume-carefree-todo-dia-flexi-15-unidades-80135/266690-1.jpg?w=900&h=900&v=202505131433&qs=ignore,Absorvente Externo sem Perfume Carefree Todo Dia Flexi 15 Unidades,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891010618766.webp,48354,900,900,2026-07-06T11:46:20
23,AB CAREFREE TODO DIA S/ PERF 80UN PROMO,7891010604349,20.39,20.55,20.63,20.72,REVISAR_MATCH_DESTRO,APROVADO_EDSON,"Imagem veio da Destro, mas a correspondencia precisa de revisao. Aprovado manualmente por Edson em 2026-07-06T13:10:18.",destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-diario-carefree-sem-perfume-todo-dia-flexi-80-unidades-80559,https://destro.fbitsstatic.net/img/p/absorvente-diario-carefree-sem-perfume-todo-dia-flexi-80-unidades-80559/267114.jpg?w=900&h=900&v=202501231555&qs=ignore,Absorvente Diário Carefree Sem Perfume Todo Dia Flexi 80 Unidades,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891010604349.webp,46270,900,900,2026-07-06T11:46:22
24,AB LADYSOFT NORMAL SUAVE C/ABAS 8UN,7896061980015,2.99,3.01,3.03,3.04,OK_DESTRO,APROVADO_EDSON,Imagem encontrada na Destro com boa correspondencia de nome. Aprovado manualmente por Edson em 2026-07-06T13:10:18.,destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-ladysoft-suave-sem-abas-8-unidades-71654,https://destro.fbitsstatic.net/img/p/absorvente-ladysoft-suave-sem-abas-8-unidades-71654/258190-1.jpg?w=900&h=900&v=202505091156&qs=ignore,Absorvente Ladysoft Suave Sem Abas 8 unidades,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7896061980015.webp,49896,900,900,2026-07-06T11:46:22
25,AB LADYSOFT NORMAL SUAVE S/ABAS 8UN,7896061980039,2.99,3.01,3.03,3.04,OK_DESTRO,APROVADO_EDSON,Imagem encontrada na Destro com boa correspondencia de nome. Aprovado manualmente por Edson em 2026-07-06T13:10:18.,destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-ladysoft-suave-sem-abas-8-unidades-71654,https://destro.fbitsstatic.net/img/p/absorvente-ladysoft-suave-sem-abas-8-unidades-71654/258190-1.jpg?w=900&h=900&v=202505091156&qs=ignore,Absorvente Ladysoft Suave Sem Abas 8 unidades,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7896061980039.webp,49896,900,900,2026-07-06T11:46:25
26,AB MODESS COB SUAVE C/ ABAS 16UN PROM,7896064445290,4.96,5.0,5.02,5.04,OK_DESTRO,APROVADO_EDSON,Imagem encontrada na Destro com boa correspondencia de nome. Aprovado manualmente por Edson em 2026-07-06T13:10:18.,destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-modess-cobertura-suave-com-abas-16un-leve-pague-88190,https://destro.fbitsstatic.net/img/p/absorvente-modess-cobertura-suave-com-abas-16un-leve-pague-88190/275188.jpg?w=900&h=900&v=202501231555&qs=ignore,Absorvente Modess Cobertura Suave Com Abas 16Un Leve + Pague -,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7896064445290.webp,39496,900,900,2026-07-06T11:46:25
27,AB MODESS COB SUAVE C/ ABAS 32UN PROM,7896064445313,10.04,10.12,10.16,10.2,OK_DESTRO,APROVADO_EDSON,Imagem encontrada na Destro com boa correspondencia de nome. Aprovado manualmente por Edson em 2026-07-06T13:10:18.,destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-modess-cobertura-suave-com-abas-32un-leve-pague-88191,https://destro.fbitsstatic.net/img/p/absorvente-modess-cobertura-suave-com-abas-32un-leve-pague-88191/275189.jpg?w=900&h=900&v=202501231555&qs=ignore,Absorvente Modess Cobertura Suave Com Abas 32Un Leve + Pague -,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7896064445313.webp,44358,900,900,2026-07-06T11:46:25
28,AB MODESS COB SUAVE C/ ABAS 8UN,7896064445276,2.81,2.83,2.84,2.85,OK_DESTRO,APROVADO_EDSON,Imagem encontrada na Destro com boa correspondencia de nome. Aprovado manualmente por Edson em 2026-07-06T13:10:18.,destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-modess-cobertura-suave-com-abas-8un-88189,https://destro.fbitsstatic.net/img/p/absorvente-modess-cobertura-suave-com-abas-8un-88189/275187.jpg?w=900&h=900&v=202501231555&qs=ignore,Absorvente Modess Cobertura Suave Com Abas 8Un,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7896064445276.webp,46274,900,900,2026-07-06T11:46:26
29,AB MULHER ATIVA C/ ABAS 8UN,7898946485813,1.69,1.7,1.71,1.72,OK_DESTRO,APROVADO_EDSON,Imagem encontrada na Destro com boa correspondencia de nome. Aprovado manualmente por Edson em 2026-07-06T13:10:18.,destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-com-abas-mulher-ativa-cobertura-seca-8un-76131,https://destro.fbitsstatic.net/img/p/absorvente-com-abas-mulher-ativa-cobertura-seca-8un-76131/262685.jpg?w=900&h=900&v=202501231555&qs=ignore,Absorvente Com Abas Mulher Ativa Cobertura Seca 8Un,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7898946485813.webp,49160,900,900,2026-07-06T11:46:27
30,AB NATURALMENTE MAIS C/ ABAS 16UN PROMO,7896064445382,3.38,3.41,3.42,3.43,OK_DESTRO,APROVADO_EDSON,Imagem encontrada na Destro com boa correspondencia de nome. Aprovado manualmente por Edson em 2026-07-06T13:10:18.,destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-naturalmente-com-abas-16un-92280,https://destro.fbitsstatic.net/img/p/absorvente-naturalmente-com-abas-16un-92280/279278.jpg?w=900&h=900&v=202602231402&qs=ignore,Absorvente Naturalmente Com Abas 16Un,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7896064445382.webp,28828,900,900,2026-07-06T11:46:27
31,AB NATURALMENTE MAIS C/ ABAS 8UN PROMO,7896064442565,1.59,1.6,1.61,1.62,OK_DESTRO,APROVADO_EDSON,Imagem encontrada na Destro com boa correspondencia de nome. Aprovado manualmente por Edson em 2026-07-06T13:10:18.,destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-naturalmente-max-noturno-com-abas-8un-91832,https://destro.fbitsstatic.net/img/p/absorvente-naturalmente-max-noturno-com-abas-8un-91832/278830.jpg?w=900&h=900&v=202512161658&qs=ignore,Absorvente Naturalmente Max Noturno Com Abas 8Un,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7896064442565.webp,36464,900,900,2026-07-06T11:46:29
32,AB NATURALMENTE MAX NOT C/ ABAS 8UN,7896064442213,2.49,2.51,2.52,2.53,OK_DESTRO,APROVADO_EDSON,Imagem encontrada na Destro com boa correspondencia de nome. Aprovado manualmente por Edson em 2026-07-06T13:10:18.,destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-naturalmente-max-noturno-com-abas-8un-91832,https://destro.fbitsstatic.net/img/p/absorvente-naturalmente-max-noturno-com-abas-8un-91832/278830.jpg?w=900&h=900&v=202512161658&qs=ignore,Absorvente Naturalmente Max Noturno Com Abas 8Un,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7896064442213.webp,36464,900,900,2026-07-06T11:46:29
33,AB NATURALMENTE MAX NOT C/A 16UN PROMO,7896064443029,5.39,5.43,5.45,5.48,OK_DESTRO,APROVADO_EDSON,Imagem encontrada na Destro com boa correspondencia de nome. Aprovado manualmente por Edson em 2026-07-06T13:10:18.,destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-naturalmente-max-noturno-com-abas-16un-89860,https://destro.fbitsstatic.net/img/p/absorvente-naturalmente-max-noturno-com-abas-16un-89860/276858.jpg?w=900&h=900&v=202503061452&qs=ignore,Absorvente Naturalmente Max Noturno Com Abas 16Un,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7896064443029.webp,45574,900,900,2026-07-06T11:46:29
34,AB OB INTERNO MEDIO 10UN PROMO,7891010886547,9.89,9.97,10.01,10.05,REVISAR_MATCH_DESTRO,APROVADO_EDSON,"Imagem veio da Destro, mas a correspondencia precisa de revisao. Aprovado manualmente por Edson em 2026-07-06T13:10:18.",destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-interno-ob-sempre-livre-medio-16un-leve-pague-87426,https://destro.fbitsstatic.net/img/p/absorvente-interno-ob-sempre-livre-medio-16un-leve-pague-87426/274423.jpg?w=900&h=900&v=202501231555&qs=ignore,Absorvente Interno OB Sempre Livre Médio 16Un Leve + Pague -,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891010886547.webp,20204,900,900,2026-07-06T11:46:31
35,AB OB INTERNO MEDIO 16UN PROMO,7891010245085,16.39,16.52,16.59,16.65,OK_DESTRO,APROVADO_EDSON,Imagem encontrada na Destro com boa correspondencia de nome. Aprovado manualmente por Edson em 2026-07-06T13:10:18.,destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-interno-ob-sempre-livre-medio-16un-leve-pague-87426,https://destro.fbitsstatic.net/img/p/absorvente-interno-ob-sempre-livre-medio-16un-leve-pague-87426/274423.jpg?w=900&h=900&v=202501231555&qs=ignore,Absorvente Interno OB Sempre Livre Médio 16Un Leve + Pague -,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891010245085.webp,20204,900,900,2026-07-06T11:46:31
36,AB OB INTERNO SUPER 10UN PROMO,7891010010577,9.89,9.97,10.01,10.05,REVISAR_MATCH_DESTRO,APROVADO_EDSON,"Imagem veio da Destro, mas a correspondencia precisa de revisao. Aprovado manualmente por Edson em 2026-07-06T13:10:18.",destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-interno-ob-super-10-unidades-73123,https://destro.fbitsstatic.net/img/p/absorvente-interno-ob-super-10-unidades-73123/259659.jpg?w=900&h=900&v=202501231555&qs=ignore,Absorvente interno OB Super 10 unidades,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891010010577.webp,21878,900,900,2026-07-06T11:46:32
37,AB SEMPRE LIVRE ADAPT PLUS C/AB 16UN PMO,7891010579616,9.11,9.18,9.22,9.26,OK_DESTRO,APROVADO_EDSON,Imagem encontrada na Destro com boa correspondencia de nome. Aprovado manualmente por Edson em 2026-07-06T13:10:18.,destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-sempre-livre-adapt-plus-noite-dia-seca-com-abas-16un-72611,https://destro.fbitsstatic.net/img/p/absorvente-sempre-livre-adapt-plus-noite-dia-seca-com-abas-16un-72611/259147.jpg?w=900&h=900&v=202501231555&qs=ignore,Absorvente Sempre Livre Adapt Plus Noite Dia Seca Com Abas 16Un,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891010579616.webp,26272,900,900,2026-07-06T11:46:32
38,AB SEMPRE LIVRE ADAPT PLUS C/AB 8UN,7891010031633,4.73,4.77,4.79,4.81,OK_DESTRO,APROVADO_EDSON,Imagem encontrada na Destro com boa correspondencia de nome. Aprovado manualmente por Edson em 2026-07-06T13:10:18.,destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-sempre-livre-noite-e-dia-adapt-plus-com-abas-8-unidades-76691,https://destro.fbitsstatic.net/img/p/absorvente-sempre-livre-noite-e-dia-adapt-plus-com-abas-8-unidades-76691/263245-1.jpg?w=900&h=900&v=202505080926&qs=ignore,Absorvente Sempre Livre Noite e Dia Adapt Plus com Abas 8 unidades,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891010031633.webp,50976,900,900,2026-07-06T11:46:33
39,AB SEMPRE LIVRE ADAPT SV C/AB 16UN PMO,7891010793463,7.48,7.54,7.57,7.6,OK_DESTRO,APROVADO_EDSON,Imagem encontrada na Destro com boa correspondencia de nome. Aprovado manualmente por Edson em 2026-07-06T13:10:18.,destromacro.com.br,https://www.destromacro.com.br/produto/absorvente-sempre-livre-adapt-plus-noite-dia-seca-com-abas-16un-72611,https://destro.fbitsstatic.net/img/p/absorvente-sempre-livre-adapt-plus-noite-dia-seca-com-abas-16un-72611/259147.jpg?w=900&h=900&v=202501231555&qs=ignore,Absorvente Sempre Livre Adapt Plus Noite Dia Seca Com Abas 16Un,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891010793463.webp,26272,900,900,2026-07-06T11:46:34
